"";"tweets.df.text";"emot"
"4014";"RT @GeorgiaDirtRoad: Tweet Of The Day!!! 

#MaddowBreakingNews https://t.co/P6zGSmyDMp";"<FACE WITH TEARS OF JOY>"
"4015";"road to social hall...  hahahah";"<GRADUATION CAP><WOMAN>"
"4016";"Completely FALSE Facts That Everyone Think They Are -- https://t.co/VTNu1OV4xp";""
"4017";"RT @ItsRoms: i hope she's doing this to free her ears of hair to listen to my problems https://t.co/Q8twmYIW8S";""
"4018";"An eye opener for PSP critics!
@PSPPakistan makes its way into Kohistan- KPK;
Organizing body announced.
We are her https://t.co/z935IRCC7B";""
"4019";"happy family
#batangas https://t.co/FeucCOzyWn";""
"4020";"Absolutely Beauitful. https://t.co/mqwdOHrZkE";""
"4021";"RT @ThisFoodTho: Cheese Steak https://t.co/T249ZYqqXi";""
"4022";"RT @segnaro96: My twilight zone inspired look! https://t.co/34NDAEaKEQ";""
"4023";"The latest The Gina Minks Daily! https://t.co/6UWzAPk8R3 Thanks to @maehkon @mediacodex @girlgerms #ai #iot";""
"4024";"Love in the Moonlight ";"<NEW MOON WITH FACE>"
"4025";"RT @Hadas_Gold: CNNs @MichLKosinski on Tillerson taking 1 hand picked reporter on plane to Asia trip https://t.co/nxoNAGqJO5 https://t.co/";""
"4026";"RT @TradizioneLarry: shoplifter https://t.co/ElsLGjMRZk";""
"4027";"You're swimming in your element today, which means superficial... More for Scorpio https://t.co/TzopPC4124";""
"4028";"Can you do that? https://t.co/O0H6WkXdr2";"<SMILING FACE WITH SMILING EYES>"
"4029";"@vidfish1 One of mankind's finest achievements Tony!";""
"4030";"RT @charbhardy: Back from a short run I'm sure that hill gets steeper every time now to get ready to go to get hair sorted out https://t.co";""
"4031";"RT @SurajMNHegde: Hope now atleast film fraternity realise what #congress haddone for last 60 years
Freedom of speech&amp;expression were ";""
"4032";"@KennStiffler damn! This is so fucked up";""
"4033";"aahhh why do i feel so nervous and it feels like im waiting for something gosh. maybe mx' teaser and album?";""
"4034";"RT @TimeOutLondon: Want to drink outside in this GLORIOUS sunshine? There are some rooftop bars open all year round, take your pick: ";""
"4035";"NowPlaying All We Needed - Craig David https://t.co/kxGEZPwF68 10:12";""
"4036";"RT @EchoingSoundz: Kxng Crooked  Real Friends (Freestyle)
https://t.co/bJi4W4miKK

https://t.co/9VAHmRHBnP";""
"4037";"Yaara is leading in Public Challenge with a time record of 00:07:27. Nice!";""
"4038";"RT @Ro0STA: Well done Maxi. A good patient knock! What test cricket is about. Nice to bring up with a 6. Keep it up big fella ";""
"4039";"RT @TheGadgetFlow: Pre-Order: Sad Piggies #CardGame of Piggy Deaths https://t.co/OLuxcGEnwt May the most helpful player win! ";""
"4040";"RT @DavidPapp: Meet the fluorescent tree frogs of South America https://t.co/K8NiKgwBpv";""
"4041";"RT @emerylord: goodnight moon, goodnight pajamas
goodnight microwave obama";""
"4042";"RT @pippelina_: Prettiest boy https://t.co/ZbU0MTait6";""
"4043";"@tyrated_ @ssylhb stop it's beautiful";""
"4044";"RT @4seasonswithIU: [TRANS] 090715 + 090804 IU's 1st +2nd [From. IU] post  Want to read more? Join IU's fancafe to become a true Uaena ";"<SMILING FACE WITH SMILING EYES>"
"4045";"Trinity Collections: Western Contemporary Art - Andy Warhol - Mao https://t.co/qWTEmZvQfp";""
"4046";"People might stay out of your way because your energy is so in... More for Aquarius https://t.co/2qohZIL5ti";""
"4047";"Looping trivet https://t.co/w4DD4toqVs di DomusWeb";""
"4048";"RT @sestraheda: gets me everytime https://t.co/3FoQQcJ4s3";""
"4049";"RT @trapafasa: Black women y'all are beautiful I love y'all ";"<FACE THROWING A KISS>"
"4050";"When your customers, friendomers, ""friends"" comment on Facebook about their shitty Buber driver. #Goody";""
"4051";"Under Conservative rule, more oppression, suffering, violence, inequality, and more enemies that want to take u down, makes us MORE unsafe!";""
"4052";"About suspended accounts | Twitter Help Center https://t.co/1QqcZQjX0i via @support";""
"4053";"ezfz";""
"4054";"New tumblr post: ""New tumblr post: ""Tweeted"" https://t.co/5LsOng2uDz IFTTT, Twitter"" https://t.co/RlaWhq09pH IFTTT, Twitter";""
"4055";"RT @Pollin8Projects: Join our mailing list for details of forthcoming courses and workshops https://t.co/1yGNcAqX9B or send a private me ";""
"4056";"Seconds Before DISASTER! People Lost Their Lifes Doing -- https://t.co/xnwdzTpRrD";""
"4057";"Hello.";""
"4058";"RT @Thelnteresting: I want  https://t.co/IAbUQHvteE";"<SMILING FACE WITH HEART-SHAPED EYES><TWO HEARTS>"
"4059";"RT @technidreamer: So im on twitter now, not sure how to do this but i hope your all ready for some memes #newtotwitter #idk #Bernie ";""
"4060";"Men's Real 10K Yellow Gold Nugget Ring sz 11 https://t.co/nN7vYQehKx https://t.co/letrA44uWc";""
"4061";"Even more pictures... https://t.co/ddT7EjRHgg";""
"4062";"At some point you have to realize that they no longer care, and that maybe you're missing out on someone who does.  #MYXMusicAwardsMAYWARD";""
"4063";"RT @Iamwithccabello: - X: Why do you stan Camila Cabello? 
- Me: 
#MGK &amp; #CamilaCabello Bad Things #Mashup @radiodisney  https://t.co/lli";""
"4064";"RT @CUTEST_ANlMALS: Alone Forever https://t.co/t1ZQa8cRcj";""
"4065";"RT @djsnakeusa: DJ Snake  Zedd

#djsnake #williamgrigahcine #pardonmyfrench #zedd #antonzlavaski https://t.co/lZm0ZrxefD";""
"4066";"@PCSOLeeCompton Hi, I'm from uni of Essex doing my dissertation on PCSOs. I was wondering if and how I could message you personally? Thanks!";""
"4067";"RT @manuudale: She lights up to show me a way through the dark. 

#WeMyxYouKissEd https://t.co/wo8XD6Y0nT";"<HEAVY BLACK HEART>"
"4068";"#DownloadAtoZ - Bracket Tracker: How long will your bracket survive? https://t.co/Bhryqv8Nh9";""
"4069";"RT @EntheosShines: Maxine Waters (D-CA) caught on tape bragging that Obama has secret database on EVERYONE like nothing ever seen before ht";""
"4070";"RT @spange_bot: @teafaire ""azarad"", sed elise, ""we met again... gerard knows u are secritylu a prep n he invited me here to REPLCE ";""
"4071";"Good morning. Have a thousandfold Thursday. Luv ya my Twitter family. APTOG!";""
"4072";"RT @Lionheart0075: This sugar glider is perhaps the cutest pet on the entirety of Instagram https://t.co/HbtBUI10fm";""
"4073";"Texas teen killed by train while modeling on tracks https://t.co/voTJtGkJDF via @MailOnline Very pathetic";""
"4074";"RT @savagekhloe: Uhmmm. pls stop talking shits, ok?

KISSES OnMyxMusicAwards";""
"4075";"never ever gonna let you go";""
"4076";"RT @TukultiPD: OpenList per il tweeting #PASocial @nuppolina @CittadinidiTwtt @fdicos10 @tosochris @marcobani @coluques https://t.co/TvLx3G";""
"4077";"RT @Ninja_Bambi: Get in https://t.co/SvYU9PkNcN for #BCCRSS #DueDiligence #Hijabban #illegal #truthalwayswins #WifaqulUlama ";""
"4078";"@pharris830 @MotherJones From Minnesota? Naw, they'll figger out I aimed south on purpose...";""
"4079";"See our latest #Newton, MA #job and click to apply: Practice Manager - https://t.co/LNVRQBzCzb #Healthcare #Hiring https://t.co/mKuPWvgwUu";""
"4080";"The latest Montreal Canadien's News! https://t.co/PLTv81jfsY Thanks to @CanadiensTweets @S_M_League #habs";""
"4081";"Season 4 will be soo good and i will most likely cry every episode bc i have waited so long i'm sp excited";""
"4082";"Unc said keep one foot on they neck nephew";""
"4083";"#youtube teen sex norwegian girls nude free https://t.co/bVjDejZ48h";""
"4084";"NBC: Automation May Destroy Half of Truck Driver Jobs | VDARE https://t.co/MJcEDAvAjI";""
"4085";"RT @PeyboritLayZah: Congrats @lizasoberano @itsenriquegil  
#LPUBMostPopLTLizQuen";"<SMILING FACE WITH SMILING EYES>"
"4086";"Holy shit Hirdy... ";"<HEAVY BLACK HEART>"
"4087";"The deadline has been extended to April 11 for the academic year registration. So get yourselves registered.";""
"4088";"@Daniel_Ohana @mr_big_peter @BBCBreaking Orwell was a lefty socialist - he'd hate the state America is in now";""
"4089";"RT @louistheroux: Is this very funny or am I just tired? https://t.co/sMo8qAy2uQ";""
"4090";"LED News Feed: GaN Customer Solutions to Take Center Stage at APEC 2017 https://t.co/iPEbPCltu1";""
"4091";"RT @mike_n30: First of all ""Drop it like it's Hot"" has done more for America than you have. https://t.co/JzcSGxJ6up";""
"4092";"I've just unlocked Tag-Along achievement in Paradise Island 2! https://t.co/mIwlO8RWNR #GameInsight #ParadiseIsland2";""
"4093";"RT @TWICE_GLOBAL: [PIC] 170316 TWICE by Spris Facebook Update - #Tzuyu #TWICE # 

https://t.co/EDGGOPH2Pu https://t.co/Qb00fru4vI";""
"4094";"RT @insyi128: 1,2,3 say chemistryyyyyy!!  https://t.co/6MmNXlSEM7";"<FACE WITH STUCK-OUT TONGUE AND WINKING EYE><GRINNING FACE WITH SMILING EYES>"
"4095";"RT @taehyungpic: Never ever forget that Taehyung danced in high heels w/o any difficulties like he's been trained for that&amp; HE PULL ";"<SEE-NO-EVIL MONKEY>"
"4096";"RT @KeithOlbermann: This guy his medical degree in a box of Cracker Jacks, didn't he? https://t.co/q9Yx5yM6zy";""
"4097";"RT @idillionaire: Mental wellness is so important. Take care of your mind &amp; the way u speak to yourself. Don't let negative thoughts weaken";""
"4098";"RT @_maywardlover: I need to stop worrying about the future and be thankful for what I have been blessed with so far.

#MYXMusicAwardsMAYWA";""
"4099";"RT @taeyongpictures: you always leave me breathless 
170316 Naver Starcast By Dispatch Update | White Day Event https://t.co/dwLCb9M0Cn";"<SMILING FACE WITH HEART-SHAPED EYES>"
"4100";"Top Movie Moments - https://t.co/6QrpCMlNVI https://t.co/ZNU1UeiICh";""
"4101";"IPS Packaging Round Up is out! https://t.co/teUZmHtaEt #packaging #design";""
"4102";"Hostage situation underway at German bank, armed police on scene https://t.co/UNGcHp0Fck https://t.co/hzMyAKyMV9";""
"4103";"Women's Full Long Sequins Wedding Formal Ball Gown Cocktail Party Evening Dress https://t.co/foKIiVOE7L https://t.co/614O4ds3TU";""
"4104";"Protects me for 48-hours + soft &amp; smooth underarms? Im sold @Dove Advanced... https://t.co/nhun3Omwl8 by https://t.co/kn19Ec9p4U";""
"4105";"@JSergeant97 I heard Syria is really lovely this time of year";""
"4106";"RT @wordstionary: ""Our attitude towards others determines their attitude towards us.""
 Earl Nightingale";""
"4107";"RT @WakeupAyan: 20 rts and you'll see a beautiful thread for all the beautiful people out there";""
"4108";"RT @dheerajroy7: @FrontNeurosci Review - Synaptic ensemble underlying the consolidation of neuronal circuits during learning ";""
"4109";"#LakeSimcoe #snowkiting March 25-26th in #Townshipofbrock  at Centennial Beach.https://t.co/L30qJNM5u5";""
"4110";"RT @mitchellvii: Trump never makes a move until he has determined he has leverage to close the deal.";""
"4111";"RT @FailWise: Useful overview of the ""Spectrum of Public #Participation"" (inc links to critique) https://t.co/kbcssDFEzA Thanks to @GraemeS";""
"4112";"You don't want to slow your pace because you're hungry for lif... More for Leo https://t.co/gN5FUPbK9b";""
"4113";"Countless dead and no help: US air war exacts heavy toll in #Mosul #UnitedStates https://t.co/IihNc7PYP0 https://t.co/Om8ROkxB8w";""
"4114";"Hawaii's Attorney General: Religious hostility 'violates constitution' https://t.co/kQQGl2HEbM ^BBCWorld https://t.co/pefKcU72jc";""
"4115";"@readJerome after the hike. The reverse of the very things we feared ..too soon maybe https://t.co/bSUTCRFNLL";"<FACE WITH TEARS OF JOY>"
"4116";"Spermswap  Tina Kay and FrancysBelle https://t.co/qdOhf37jic";""
"4117";"RT @violettonys: I can't stop crying https://t.co/pL3xj0Xz8u";""
"4118";"Great Barrier Reef suffering 'unprecedented' damage https://t.co/1O3Rq6axBR #worldnews #news #breakingnews";""
"4119";"Have you seen the Famine Trinitatis @TrinityOxford? More details can be found here https://t.co/BnqN0uCi1L";""
"4120";"RT @brianschatz: Hey. Do me a favor and RT if you are not a paid protester? https://t.co/k9VkMPXcMH";""
"4121";"RT @BelugaSolar: We immerse ourselves in research, developments &amp; the production of new energy! #LightingTheWorld ";""
"4122";"#Stormhunter Hell ( is what you make of it) NowPlaying on https://t.co/o20xIE4S15 #Metal 24/7";""
"4123";"First Lady Michelle Obama Carpool Karaoke https://t.co/aE4MOASCF0 via @YouTube I needed a reminder of the the First Family should be like";""
"4124";"RT @realDailyWire: Trump Paid $38 Million In Taxes In One Year Alone. Here Are 9 Times Democrats Claimed Trump Paid No Taxes. https://t.co/";""
"4125";"RT @kirstinToni: TRUST 
The Stream - South Africa to South Bronx via @The_Stream_7945 https://t.co/dd3ft9qwAx";"<PERSON WITH FOLDED HANDS>"
"4126";"RT @onlynochu: but remember when jimin fell at the airport then jungkook never left his side to protect him the next days.. im not ";""
"4127";"RT @whec_bdipilato: Many kids heading back to school today- temps in the teens to start, some sun nearing 30 later today. https://t.co/xTzu";""
"4128";"RT @Izzyizo: The homie @therealritag The @kanyewest Flashing lights killer.The Super Model/Photographer Great.https://t.co/EnvSAnGegb";""
"4129";"Hostage situation underway at German bank, armed police on scene https://t.co/iRyNa5JECY https://t.co/rXPWmv2TGd";""
"4130";"RT @sabtv: Here is the second last question for #SABFanOfTheDay https://t.co/3rKiCt9yqv";""
"4131";"https://t.co/9RxvhDPMZX

Enjoy The Lark Ascending and other works at Derby Concert Orchestra's concert on Saturday at Derby Cathedral.";""
"4132";"RT @Jordenkursten: I cannot explain how happy I am to be laying on a real mattress watching the office rn.";""
"4133";"RT @Sodus_Species: Fashion  Sodustrends
https://t.co/TkQvPgjxmS";""
"4134";"@TailblockTV playing online at these weirdo times are so much easier wow should've told me";"<FACE WITH TEARS OF JOY>"
"4135";"RT @wxwows: Northern lights over the Glacier Lagoon in Iceland. https://t.co/o61x6LkpOV";""
"4136";"RT @tonyhawk: I let @edsheeran borrow my skateboard and he won't give it back. He keeps sending me photos like this from his tour ";""
"4137";"@dealybop @KonamiKode @AlOverdrive @apacheknowledge @DefyDesigns @ChadMuskehound Haha no it's totally weird, you're right there ;)";""
"4138";"RT @blxcknicotine: There's a blessing and benefit to being patience. Good things take time";""
"4139";"RT @Ed_Miliband: My letter sent yesterday to Karen Bradley asking her to ensure fit and proper review of Murdoch bid for full contro ";""
"4140";"RT @MisterHugotero: I'm not lazy, I'm on energy saving mode.";""
"4141";"Top 5 Cardio Workouts
https://t.co/saZztidnx7 https://t.co/Q3KV2y0M8z";""
"4142";"Fuji Instax Mini 8 Camera with 10 Pack Film - Blue https://t.co/vvVhziqKgM https://t.co/qzvdHaASx5";""
"4143";"RT @anisasx: 118) his vines were genius  https://t.co/usk6bP44zs";""
"4144";"RT @Mngxitama: You know DA is a party of white supremacy. You give it political power in the metros and then turn around claim outrage at i";""
"4145";"Dont miss this for nothing #MissLegonEviction 

cc: HereDeyPap";""
"4146";"#wemon loli gym women sex fuck teen https://t.co/gqrfqidbQD";""
"4147";"RT @_xM_G_W_Vx_: 



















#F4F
#MGWV

#";"<COLLISION SYMBOL>"
"4148";"toys for autistic adults https://t.co/EpDLtJYVpX";""
"4149";"Dont miss this for nothing #MissLegonEviction 

cc: HereDeyPap";""
"4150";"Halfway through the rebellion, Homeworld scrambled to generate extra soldiers on the ground.";""
"4151";"This is brilliant https://t.co/L9WmFMkT69";""
"4152";"RT @merylnyc: Just got a call from a friend who is a #grreencard holder. Said she is staying off social media. Doesn't feel safe now. #NoBa";""
"4153";"Q OH TMF NFF";""
"4154";"Nokia n97 microcosm - check in be-all informal among consistent quantitative poke: YbhSeu";""
"4155";"You're swimming in your element today, which means superficial... More for Scorpio https://t.co/3QVadypoAn";""
"4156";"Guy Found A Way To Light The APPLE  https://t.co/imHcJmrK23";""
"4157";"It's easy to hit your stride today as long as you choose activ... More for Taurus https://t.co/jJM07HVsqJ";""
"4158";"RT @myunwrittensoul: ""Can I just take back my love I gave you""";""
"4159";"RT @THR: Foreign Box Office: #Kong:SkullIsland Bows to $81.6M; #Logan Stays Strong With $70M https://t.co/uVHA9yaCqp https://t.co/ftQwBWJ9ya";""
"4160";"BET NOW with #888Sport and get Treble the odds - https://t.co/7kpTxi0j7T https://t.co/N0rv3W5eMS";""
"4161";"speak to me thru gifs  jkkk https://t.co/M0kcmKuEu0";"<FACE WITH TEARS OF JOY>"
"4162";"RT @AnnCoulter: Only way @realDonaldTrump can fulfill his promises on healthcare is to sign a law saying:""There shall be a free market in h";""
"4163";"RT @ebdqlpc1: dating girls who like anal sex in Rome https://t.co/05Z2Cw4lFW";""
"4164";"RT @jagdev_dhaliwal: We r waiting eagerly for a new character clip who amused entire crew @Gurmeetramrahim @insan_honey 
#Day9JEshoot";""
"4165";"VIDEO-Kid Rock Blasts Imported Grills With Shotgun: 'In Your Face, China'  https://t.co/stIuRWkt6w";""
"4166";"RT @DonnyRFC_MJs: Great Night @DonnyPhoenix  Sportsmans Dinner with Doddie Weir #RugbyFamily";""
"4167";"Newest Internet Obsession , This Guy Who Looks &gt;&gt; https://t.co/CEi9Wqw7O6";""
"4168";"RT @SteveStfler: I really don't get women.... https://t.co/EfDAAWwjmO";""
"4169";"T-ara To Drop Last Album As Six-Member Group In May https://t.co/TnlZZ7cS2k https://t.co/Z9OyVNjCzs";""
"4170";"RT @naahbwxlndu: scorching hot veroniquee   https://t.co/rJI49rIVP3";""
"4171";"RT @STICHxSMB: @SMB_DBN x #BP$ TOUR 
   More Dates TBC     https://t.co/WaHpbUeGao";"<FIRE><TRADE MARK SIGN>"
"4172";"online dating service meet singles in Nevada https://t.co/WJFas4B8HB";""
"4173";"Tillerson calls for 'new approach' to North Korea threat https://t.co/fXg4g73hDO #worldnews #news #breakingnews";""
"4174";"Tips for Cultivating Good Habits Without Giving Up -- https://t.co/lChgDFDMaI";""
"4175";"The only thing @KaYSaM_Teknik don't have a hand in  (didn't prod).Yes plz I can cook. #GoDown tomorrow. #Afrobeat https://t.co/5PFUQBhIDH";"<FACE WITH TEARS OF JOY>"
"4176";"RT @SteveStfler: You vs the guy she tells you not to worry about https://t.co/rPRnCOvrYb";""
"4177";"RT @FAIRImmigration: PRESS RELEASE: FAIR Calls Hawaii Judges Decision A Case of Judicial Overreach that Endangers National Security http";""
"4178";"Riddle bushveld floor twentieth-century straight a black-and-white film?: ZcpMueXoG https://t.co/AgLBtmgvm6";""
"4179";"Need some socks to wear with these BSFC https://t.co/cLLRIhEJ9i";""
"4180";"RT @alandelmonte: Found an iPhone in Cheltenham last night. Reunited with its owner today. He gave me a tip as a thankyou. It lost. So I've";""
"4181";"@LWickstrom @NCFF_Commish I'm never the one to stick my neck out and potentially get hurt...";""
"4182";"hot fleshlight cumshotbody   https://t.co/9tk8vop8Wb";""
"4183";"RT @ZaiLetsPlay: Hey! To enter the $10 Roblox GiftCard giveaway. 
1.Follow me on Twitter
2.Retweet&amp;Like this tweet
Winner will be picked Ma";""
"4184";"RT @OmwoyoBwokemwa: What???? https://t.co/hIQae8qtgN";""
"4185";"Download DjMix: Dj Enimoney  Made In Bariga | @DJ_Enimoney (CLICK&gt;&gt; https://t.co/7lPg8rvRns | Via #430Box";""
"4186";"RT @SenSanders: We must join the rest of the industrialized world and guarantee health care to all people as a right and not a priv ";""
"4187";"RT @SelimYeniceri: ""Dream like a poet. Fight like a tiger."" by @SelimYeniceri @DrMargareAranda @ChronicPainDad";""
"4188";"RT @blxcknicotine: David Beckham sharing stories about Brooklyns first date on national television much to his embarrassment. https://t.co";""
"4189";"RT @BLOODHOUND_SSC: BLOODHOUND Tech, Milton, wiring up the circuit breakers for the cockpit console. https://t.co/G74OOU558h";""
"4190";".@crislopezg, @Lauren_Southern is not part of the alt-right. She's libertarian. Correct your ""Research"". https://t.co/IpGSv81A4i";""
"4191";"Well That is 6500 peeps that will get the #100DollarMonster in their pocket #Moneyline  feeling energised";""
"4192";"Cant wait to experience the all new HondaWOWR-V. So excited  #HondaWRV  @HondaCarIndia";""
"4193";"I wonder how many jobs will be lost in these massive government bureaucracy cuts. https://t.co/LZUJB45JV1";""
"4194";"RT @msnewmoney: Some rape stuff don't add up to me";""
"4195";"RT @KrissiScribbles: Nah not true. Most of my creative homeboys get love from their s/o and support because they know that they're drive ";""
"4196";"RT @frankbrunoboxer: Not that I'm a punter but  #knowwhatimeanharry tomorrow at Cheltenham in the 3.30 Sun Bets Stayers Hurdle could be ";""
"4197";"TREAT YOU BETTER. #SmartShawnMendes  #SmartMusicLive https://t.co/OOewYR6yhG";""
"4198";"RT @GoalsBible: you must read this book: https://t.co/1N7PVWSlcn";""
"4199";"You're swimming in your element today, which means superficial... More for Scorpio https://t.co/N59eangUor";""
"4200";"RT @ParentingPatch: #TreatYoSelf Tuesday with 3 of the best @_MarieCallender pie &amp; ice cream pairings for #PiDay! #OhMyPie #ad ";""
"4201";"Ooh!  Mika used the ""L"" word ... most media can't seem to say ""lie"" when they talk about @realDonaldTrump lying.  @Morning_Joe @morningmika";""
"4202";"RT @wasabu: i could not stop thinking about this all day, so i had to let it out .__. it sharktaro aka zora joot https://t.co/mTRzY6sOUJ";""
"4203";"RT @ItsFoodPics: This is my idea of beautiful  https://t.co/N7C7GYryeY";"<SLICE OF PIZZA><SMILING FACE WITH HEART-SHAPED EYES>"
"4204";"@EnyoAtHome @ShahAmara_ whats janu?";""
"4205";"I'm only super chill on the outside. ";"<SMILING FACE WITH SMILING EYES>"
"4206";"@im_Wendy_ if someone told my girl she looked like kunta kinte we're breaking up ";"<FACE WITH TEARS OF JOY>"
"4207";"RT @markcstory: My column from 1st day of 100th Sweet Sixteen: In return to state tourney, Elisha Justice foiled by 2 ex-players https://t.";""
"4208";"RT @SamirNasrat: Success is a mindset. If you want to be successful, start thinking of yourself as a success";""
"4209";"RT @thesecret: Hold to the OUTCOME of what you want, and feel it as here now. That is your job. The HOW it will come about is the Universe";""
"4210";"Lol i saw that. Forgot to share. https://t.co/gTzXd4ikP2";""
"4211";"RT @AdoreDelano: Have a beautiful day. ";"<TWO HEARTS>"
"4212";"RT @selfamused: God's answers https://t.co/fj3sfyphj4";""
"4213";"Quote for Catherine from Sutton Coldfield in August #Birmingham #Midlands #RentACampervan Link: https://t.co/G1E6lF6Lm3";""
"4214";"You don't want to slow your pace because you're hungry for lif... More for Leo https://t.co/1Dm6GldPv4";""
"4215";"""how is it possible for a soul to meditate on the Passion of Christ without being wounded as by so many darts of lo https://t.co/rnkBL3PVeu";""
"4216";"Game Time LETS GOOOOO";""
"4217";"RT @fionasoul: Hi, there! Another you! We want to know who you are and what it is @Elverojaguar 
Twitter's light! With your birt ";"<BEATING HEART><LEAF FLUTTERING IN WIND>"
"4218";"@3xsuperbowlchmp rare birds then";""
"4219";"Teacher Accused Of Kissing Pupils Said His Tongue  https://t.co/p1i7AU7SPD";""
"4220";"RT @WpLava: 10+ Best Vintage &amp; Retro #WordPress Themes: https://t.co/U1PY9EiKLf @Webinane #WordPressThemes #Vintage #Retro ";""
"4221";"RT @SHAWNMPH: Bts clip of Shawn talking about ""Mercy""  https://t.co/03fz5erB21";"<TWO HEARTS>"
"4222";"RT @missjtorreda: Im the proudest fan ever  @iamAndalioLoisa #LoisaAndalioForPenshoppe #ClubPenshoppePH https://t.co/QYw";"<CLAPPING HANDS SIGN><HEAVY BLACK HEART><KISS MARK><LOUDLY CRYING FACE><PERSON RAISING BOTH HANDS IN CELEBRATION><SMILING FACE WITH HEART-SHAPED EYES>"
"4223";"RT @WpLava: 10+ Best Vintage &amp; Retro #WordPress Themes: https://t.co/U1PY9EiKLf @Webinane #WordPressThemes #Vintage #Retro ";""
"4224";"RT @WatchGamesTV: Stream Giveaway Part 2 
Come chill: https://t.co/2rwkxr8wXr
Follow me + @TurboTradesGG 
And 
Re-Tweet to enter! https://t";""
"4225";"RT @WpLava: 10+ Best Vintage &amp; Retro #WordPress Themes: https://t.co/U1PY9EiKLf @Webinane #WordPressThemes #Vintage #Retro ";""
"4226";"Local Doctors Have Huge Concern After They Spot &gt;&gt; https://t.co/HpWiWKVUb2";""
"4227";"@BeingSalmanKhan @akshaykumar Awesome...Bahi..";"<FACE THROWING A KISS><SMILING FACE WITH HEART-SHAPED EYES>"
"4228";"RT @Lajamarie12: this is why i only fw with lex and bri";""
"4229";"Newborn Baby Kidnapped 18 Years Ago Found Alive -- https://t.co/iK5LANtprW";""
"4230";"RT @myunwrittensoul: ""I quit.""";""
"4231";"RT @inspirestagram: I am who I am, Nobody said you had to like it.";""
"4232";"RT @delashereen: chai tea latte rlly is the most superfluous n whitest way of saying spiced tea";""
"4233";"RT @alphabetsuccess: No matter. Try again. Fail again. Fail better. - Samuel Beckett #quote https://t.co/dQcYTbHPtx";""
"4234";"@SarahDevine_ SNAKE LIVELY";""
"4235";"@CharlesMBlow Good piece, Charles. Keep going. When he is gone, your columns will show that you were a witness bearer during a dark time.";""
"4236";"RT @dupsmedia: What Can #DuplicationMedia Do For You?
#marketingvideo #videomarketing #marketing #digitalmarketing #entrepreneur  https://t";""
"4237";"In Trump era, some Mexican migrants head north - to Canada https://t.co/mmFllftDs9 https://t.co/Fw3awXrA0y";""
"4238";"https://t.co/8GQs6Yv0En Cassandra #AndTheyAllFallDown My   Preorder a kindle copy at Amazon. #ReadMe #MeetMe #LoveMe https://t.co/qVKtdjYVOR";""
"4239";"RT @thejournal_ie: This Friday is St Patrick's Day and there's an awful lot going on around the country. Here's what you need to know. http";""
"4240";"RT @5REDVELVET: [PRESS] 170316 RED VELVET at Incheon Airport on the way to Mexico

WENDY (1) https://t.co/8bCpDw5uHE";""
"4241";"RT @DamnRealPosts: Never give up on something you really want. Its difficult to wait, but even worse to regret.";""
"4242";"RT @Its_Badshah: Happy birthday @aliaa08 keep shining like the star you are. #kingaliaa";"<PRINCESS>"
"4243";"Pixie Lott - Wonderland Magazines 10th Anniversary Party in London https://t.co/MSeNykXtFW #PixieLott";""
"4244";"076001 March 16, 2017 at 07:11PM 731823737328137 https://t.co/uPlg07nBNf";""
"4245";"RT @jeromejarre: MAINSTREAM MEDIA WON'T TALK ABOUT IT !!!

REVOLTING !!! 

LET'S MAKE NOISE !!!

#TurkishAirlinesHelpSomalia  https://t.c";"<POLICE CARS REVOLVING LIGHT>"
"4246";"Opinion: The right way to investigate Russias election meddling https://t.co/VUYoubbDUW";""
"4247";"@sadcrazi get puto cancer";""
"4248";"RT @RT_com: URGENT: Hostage situation underway at German bank, armed police on scene https://t.co/DtFb7nzffZ
https://t.co/jpqmrTfNxZ";""
"4249";"RT @Luke5SOSloljoke: Spread this, people need our help   #TurkishAirlinesHelpSomalia";"<CLAPPING HANDS SIGN><HEAVY BLACK HEART>"
"4250";"RT @louisvirtel: ""OK. So you're vaguely aware that masculinity is a construct."" - new lyric to ""That Don't Impress Me Much""";""
"4251";"RT @BlackMilk_69x: Push the peddle to the metal and let it go https://t.co/3uWjHHVGTI";""
"4252";"RT @p_sahibsingh: With fellow MPs in the Parliament today. Smiles say it all. Nice constructive day. https://t.co/RUup46OSqo";""
"4253";"RT @got7emostan: MY MAN LOOKS  SO CUTE https://t.co/TWCYODh4v5";""
"4254";"RT @ajaypatel7111: What in derivation https://t.co/qFsMqlfxB9";""
"4255";"RT @Gurmeetramrahim: #Love4HKNKJ  HKNKJ creating humongous craze among fans! The storyline &amp; looks of 'Sher-E-Hind' winning hearts all o ";""
"4256";"Plateau Assembly passes 2017 appropriation bill of N139bn into law";""
"4257";"Rio Grande Prison Bloodbath Between Rival Drug Gangs &gt;&gt; https://t.co/nqZMmvs1bU";""
"4258";"Toyota to invest 240m in UK plant at Burnaston https://t.co/WXwC1nxUsa";""
"4259";"#ricoteam 

THEY MAKE MILLIONS OF @PINTEREST PROFILES

MAKE MILLIONS OF @tumblr PROFILES 

@TRANS1110 https://t.co/YZPSnpxM7f";""
"4260";"RT @Sheindie: ""Bethlehem Israel is now controlled by Abbas which has reduced Christians FROM 80% to 12% of the population"" @realDonaldTrump";""
